idx,a,b,prefix,io,s,io_id,s_id,t_star,n_edges_S,logit_diff_full,logit_diff_ablate_S,drop_S,drop_random_mean,drop_random_std,seed
0,John,Mary,"When John and Mary went to the store, John gave a drink to", Mary, John,5335,1757,14,195,3.1721878051757812,-0.39406490325927734,3.5662527084350586,-0.07435216903686523,0.18841614613165053,0
1,Mary,John,"When Mary and John went to the store, Mary gave a drink to", John, Mary,1757,5335,14,195,2.4786901473999023,1.0435152053833008,1.4351749420166016,-0.0007384300231933593,0.13065799923278315,1000
2,John,Alice,"When John and Alice went to the store, John gave a drink to", Alice, John,14862,1757,14,195,5.355903625488281,-0.18661212921142578,5.542515754699707,0.14264945983886718,0.3622984056458563,2000
3,Alice,John,"When Alice and John went to the store, Alice gave a drink to", John, Alice,1757,14862,14,195,4.120779037475586,-0.8390817642211914,4.959860801696777,0.10123777389526367,0.22080793428607629,3000
4,John,Bob,"When John and Bob went to the store, John gave a drink to", Bob, John,5811,1757,14,195,3.3963842391967773,-2.3446531295776367,5.741037368774414,0.1591568946838379,0.35490913788683437,4000
5,Bob,John,"When Bob and John went to the store, Bob gave a drink to", John, Bob,1757,5811,14,195,4.137520790100098,-1.2766656875610352,5.414186477661133,0.11645774841308594,0.33385499455239614,5000
6,John,Tom,"When John and Tom went to the store, John gave a drink to", Tom, John,4186,1757,14,195,3.101201057434082,-2.430821418762207,5.532022476196289,-0.16775121688842773,0.3034915034551037,6000
7,Tom,John,"When Tom and John went to the store, Tom gave a drink to", John, Tom,1757,4186,14,195,3.755970001220703,-1.0781822204589844,4.8341522216796875,0.5142153739929199,0.7598684854443708,7000
8,John,Sarah,"When John and Sarah went to the store, John gave a drink to", Sarah, John,10490,1757,14,195,2.800302505493164,-1.9405689239501953,4.740871429443359,0.3972037315368652,0.4232210901734971,8000
9,Sarah,John,"When Sarah and John went to the store, Sarah gave a drink to", John, Sarah,1757,10490,14,195,3.911062240600586,0.4073915481567383,3.5036706924438477,0.10989961624145508,0.3769904981726099,9000
10,John,James,"When John and James went to the store, John gave a drink to", James, John,3700,1757,14,195,3.069150924682617,-2.320262908935547,5.389413833618164,-0.276849365234375,0.5545964190198377,10000
11,James,John,"When James and John went to the store, James gave a drink to", John, James,1757,3700,14,195,2.8754444122314453,-1.7537689208984375,4.629213333129883,-0.06432743072509765,0.14470912449396206,11000
12,John,Emily,"When John and Emily went to the store, John gave a drink to", Emily, John,17608,1757,14,195,5.323442459106445,-2.27303409576416,7.5964765548706055,0.08623113632202148,0.22067976120996038,12000
13,Emily,John,"When Emily and John went to the store, Emily gave a drink to", John, Emily,1757,17608,14,195,4.777352333068848,-0.8840646743774414,5.661417007446289,-0.14204673767089843,0.6712597329977668,13000
14,John,David,"When John and David went to the store, John gave a drink to", David, John,3271,1757,14,195,1.6789979934692383,-3.0210351943969727,4.700033187866211,0.5765209197998047,0.9882316403055836,14000
15,David,John,"When David and John went to the store, David gave a drink to", John, David,1757,3271,14,195,3.1849164962768555,-0.5799264907836914,3.764842987060547,0.10659999847412109,0.28144968557474187,15000
