idx,a,b,prefix,target,target_id,t_star,n_edges_S,logit_full,logit_ablate_S,drop_S,drop_random_mean,drop_random_std,seed
0,cat,sat,The cat sat. The cat, sat,3332,6,60,14.241799354553223,13.130062103271484,1.1117372512817383,-0.06474676132202148,0.13909991267429758,0
1,dog,ran,The dog ran. The dog, ran,4966,6,60,15.838873863220215,15.478742599487305,0.36013126373291016,-0.010764598846435547,0.10723779193619877,1000
2,bird,flew,The bird flew. The bird, flew,13112,6,60,17.114442825317383,15.364996910095215,1.749445915222168,0.025783729553222657,0.06690642238268367,2000
3,boy,jumped,The boy jumped. The boy, jumped,11687,6,60,15.83986759185791,15.115550994873047,0.7243165969848633,0.02607564926147461,0.07424099882660505,3000
4,girl,smiled,The girl smiled. The girl, smiled,13541,6,60,15.44892692565918,13.868254661560059,1.580672264099121,-0.05974721908569336,0.16153822706800683,4000
5,man,walked,The man walked. The man, walked,6807,6,60,16.329511642456055,11.969307899475098,4.360203742980957,0.10383844375610352,0.13092049657548846,5000
6,woman,talked,The woman talked. The woman, talked,6619,6,60,14.643241882324219,11.10311508178711,3.5401268005371094,0.10121593475341797,0.16470945713520949,6000
7,car,stopped,The car stopped. The car, stopped,5025,6,60,14.565375328063965,14.230816841125488,0.33455848693847656,-0.009496307373046875,0.09123792468101995,7000
8,train,moved,The train moved. The train, moved,3888,6,60,14.196694374084473,13.844115257263184,0.35257911682128906,-0.12466983795166016,0.28053177915601424,8000
9,king,ruled,The king ruled. The king, ruled,8879,6,60,15.764412879943848,12.455034255981445,3.3093786239624023,-0.01039295196533203,0.07502502190376334,9000
10,queen,spoke,The queen spoke. The queen, spoke,5158,6,60,15.97512149810791,13.382925033569336,2.592196464538574,-9.250640869140624e-06,0.0751483814591929,10000
11,teacher,asked,The teacher asked. The teacher, asked,1965,6,60,14.44824504852295,13.689294815063477,0.7589502334594727,-0.013039970397949218,0.06411466532002309,11000
12,student,answered,The student answered. The student, answered,9373,6,60,14.928022384643555,11.775334358215332,3.1526880264282227,0.09280529022216796,0.11954148756736803,12000
13,doctor,helped,The doctor helped. The doctor, helped,4193,6,60,14.926324844360352,14.807612419128418,0.1187124252319336,-0.021235847473144533,0.09380064560012237,13000
14,player,scored,The player scored. The player, scored,7781,6,60,15.47880744934082,11.771045684814453,3.707761764526367,0.049634361267089845,0.08190416901790024,14000
15,artist,painted,The artist painted. The artist, painted,13055,6,60,14.567410469055176,9.24001693725586,5.327393531799316,-0.13984346389770508,0.3990191919298228,15000
16,writer,wrote,The writer wrote. The writer, wrote,2630,6,60,15.699243545532227,11.031476020812988,4.667767524719238,0.1707545280456543,0.21844626459981625,16000
17,chef,cooked,The chef cooked. The chef, cooked,15847,6,60,15.605170249938965,10.422908782958984,5.1822614669799805,-0.07933483123779297,0.23611971169759788,17000
18,farmer,worked,The farmer worked. The farmer, worked,3111,6,60,16.071422576904297,14.997688293457031,1.0737342834472656,0.017339229583740234,0.09859662272395577,18000
19,river,flowed,The river flowed. The river, flowed,35456,6,60,15.342790603637695,15.111217498779297,0.23157310485839844,0.006035137176513672,0.1704656122209935,19000
20,fire,burned,The fire burned. The fire, burned,11544,6,75,15.177650451660156,14.193778991699219,0.9838714599609375,0.0735382080078125,0.13340043563311935,20000
21,wind,blew,The wind blew. The wind, blew,17948,6,60,14.659637451171875,15.840699195861816,-1.1810617446899414,-0.039248180389404294,0.06254095706390249,21000
22,door,opened,The door opened. The door, opened,4721,6,60,14.588038444519043,16.006067276000977,-1.4180288314819336,0.00020132064819335937,0.05331758153752481,22000
